"Year","Gender Name","Ethnicity Name","Ethnicity Count"
"2017-2018","Female","Black or African American",332293
"2017-2018","Female","American Indian or Alaska Native",10012
"2017-2018","Female","Asian",114971
"2017-2018","Female","Hispanic",1381972
"2017-2018","Female","Native Hawaiian/Other or Pacific Islander",3951
"2017-2018","Female","Two or More Races",60480
"2017-2018","Female","White",727005
"2017-2018","Female","Total All Ethnicities",2630684
"2017-2018","Male","Black or African American",348484
"2017-2018","Male","American Indian or Alaska Native",10574
"2017-2018","Male","Asian",120520
"2017-2018","Male","Hispanic",1445875
"2017-2018","Male","Native Hawaiian/Other or Pacific Islander",4075
"2017-2018","Male","Two or More Races",61960
"2017-2018","Male","White",777510
"2017-2018","Male","Total All Ethnicities",2768998
"2017-2018","Total Both Genders","Total All Ethnicities",5399682

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

